"key","doc_count","breakingPeace","deception","kill","miscellaneous","royalOffences","theft","violentTheft","sexual","damage"
"1674","0","0","0","0","0","0","0","0","0","0"
"1675","0","0","0","0","0","0","0","0","0","0"
"1676","0","0","0","0","0","0","0","0","0","0"
"1677","0","0","0","0","0","0","0","0","0","0"
"1678","0","0","0","0","0","0","0","0","0","0"
"1679","0","0","0","0","0","0","0","0","0","0"
"1680","0","0","0","0","0","0","0","0","0","0"
"1681","0","0","0","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0","0","0","0"
"1683","0","0","0","0","0","0","0","0","0","0"
"1684","0","0","0","0","0","0","0","0","0","0"
"1685","0","0","0","0","0","0","0","0","0","0"
"1686","0","0","0","0","0","0","0","0","0","0"
"1687","0","0","0","0","0","0","0","0","0","0"
"1688","0","0","0","0","0","0","0","0","0","0"
"1689","0","0","0","0","0","0","0","0","0","0"
"1690","0","0","0","0","0","0","0","0","0","0"
"1691","0","0","0","0","0","0","0","0","0","0"
"1692","0","0","0","0","0","0","0","0","0","0"
"1693","0","0","0","0","0","0","0","0","0","0"
"1694","0","0","0","0","0","0","0","0","0","0"
"1695","0","0","0","0","0","0","0","0","0","0"
"1696","0","0","0","0","0","0","0","0","0","0"
"1697","0","0","0","0","0","0","0","0","0","0"
"1698","0","0","0","0","0","0","0","0","0","0"
"1699","0","0","0","0","0","0","0","0","0","0"
"1700","0","0","0","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0","0","0","0"
"1703","0","0","0","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0","0","0","0"
"1707","0","0","0","0","0","0","0","0","0","0"
"1708","0","0","0","0","0","0","0","0","0","0"
"1709","0","0","0","0","0","0","0","0","0","0"
"1710","0","0","0","0","0","0","0","0","0","0"
"1711","0","0","0","0","0","0","0","0","0","0"
"1712","0","0","0","0","0","0","0","0","0","0"
"1713","0","0","0","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0","0","0","0"
"1715","0","0","0","0","0","0","0","0","0","0"
"1716","0","0","0","0","0","0","0","0","0","0"
"1717","0","0","0","0","0","0","0","0","0","0"
"1718","0","0","0","0","0","0","0","0","0","0"
"1719","0","0","0","0","0","0","0","0","0","0"
"1720","0","0","0","0","0","0","0","0","0","0"
"1721","0","0","0","0","0","0","0","0","0","0"
"1722","0","0","0","0","0","0","0","0","0","0"
"1723","0","0","0","0","0","0","0","0","0","0"
"1724","0","0","0","0","0","0","0","0","0","0"
"1725","0","0","0","0","0","0","0","0","0","0"
"1726","0","0","0","0","0","0","0","0","0","0"
"1727","0","0","0","0","0","0","0","0","0","0"
"1728","0","0","0","0","0","0","0","0","0","0"
"1729","0","0","0","0","0","0","0","0","0","0"
"1730","0","0","0","0","0","0","0","0","0","0"
"1731","0","0","0","0","0","0","0","0","0","0"
"1732","0","0","0","0","0","0","0","0","0","0"
"1733","0","0","0","0","0","0","0","0","0","0"
"1734","0","0","0","0","0","0","0","0","0","0"
"1735","0","0","0","0","0","0","0","0","0","0"
"1736","0","0","0","0","0","0","0","0","0","0"
"1737","0","0","0","0","0","0","0","0","0","0"
"1738","0","0","0","0","0","0","0","0","0","0"
