"key","doc_count","corporal","death","imprison","miscPunish","noPunish","transport"
"1674","0","0","0","0","0","0","0"
"1675","0","0","0","0","0","0","0"
"1676","0","0","0","0","0","0","0"
"1677","0","0","0","0","0","0","0"
"1678","0","0","0","0","0","0","0"
"1679","0","0","0","0","0","0","0"
"1680","0","0","0","0","0","0","0"
"1681","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0"
"1683","0","0","0","0","0","0","0"
"1684","0","0","0","0","0","0","0"
"1685","0","0","0","0","0","0","0"
"1686","0","0","0","0","0","0","0"
"1687","0","0","0","0","0","0","0"
"1688","0","0","0","0","0","0","0"
"1689","0","0","0","0","0","0","0"
"1690","0","0","0","0","0","0","0"
"1691","0","0","0","0","0","0","0"
"1692","0","0","0","0","0","0","0"
"1693","0","0","0","0","0","0","0"
"1694","0","0","0","0","0","0","0"
"1695","0","0","0","0","0","0","0"
"1696","0","0","0","0","0","0","0"
"1697","0","0","0","0","0","0","0"
"1698","0","0","0","0","0","0","0"
"1699","0","0","0","0","0","0","0"
"1700","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0"
"1703","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0"
"1707","0","0","0","0","0","0","0"
"1708","0","0","0","0","0","0","0"
"1709","0","0","0","0","0","0","0"
"1710","0","0","0","0","0","0","0"
"1711","0","0","0","0","0","0","0"
"1712","0","0","0","0","0","0","0"
"1713","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0"
"1715","0","0","0","0","0","0","0"
"1716","0","0","0","0","0","0","0"
"1717","0","0","0","0","0","0","0"
"1718","0","0","0","0","0","0","0"
"1719","0","0","0","0","0","0","0"
"1720","0","0","0","0","0","0","0"
"1721","0","0","0","0","0","0","0"
"1722","0","0","0","0","0","0","0"
"1723","0","0","0","0","0","0","0"
"1724","0","0","0","0","0","0","0"
"1725","0","0","0","0","0","0","0"
"1726","0","0","0","0","0","0","0"
"1727","0","0","0","0","0","0","0"
"1728","0","0","0","0","0","0","0"
"1729","0","0","0","0","0","0","0"
"1730","0","0","0","0","0","0","0"
"1731","0","0","0","0","0","0","0"
"1732","0","0","0","0","0","0","0"
"1733","0","0","0","0","0","0","0"
"1734","0","0","0","0","0","0","0"
"1735","0","0","0","0","0","0","0"
"1736","0","0","0","0","0","0","0"
"1737","0","0","0","0","0","0","0"
"1738","0","0","0","0","0","0","0"
"1739","0","0","0","0","0","0","0"
"1740","0","0","0","0","0","0","0"
"1741","0","0","0","0","0","0","0"
"1742","0","0","0","0","0","0","0"
"1743","0","0","0","0","0","0","0"
"1744","0","0","0","0","0","0","0"
"1745","0","0","0","0","0","0","0"
"1746","0","0","0","0","0","0","0"
"1747","0","0","0","0","0","0","0"
"1748","0","0","0","0","0","0","0"
"1749","0","0","0","0","0","0","0"
"1750","0","0","0","0","0","0","0"
"1751","0","0","0","0","0","0","0"
"1752","0","0","0","0","0","0","0"
"1753","0","0","0","0","0","0","0"
"1754","0","0","0","0","0","0","0"
"1755","0","0","0","0","0","0","0"
"1756","0","0","0","0","0","0","0"
"1757","0","0","0","0","0","0","0"
"1758","0","0","0","0","0","0","0"
"1759","0","0","0","0","0","0","0"
"1760","0","0","0","0","0","0","0"
"1761","0","0","0","0","0","0","0"
"1762","0","0","0","0","0","0","0"
"1763","0","0","0","0","0","0","0"
"1764","0","0","0","0","0","0","0"
"1765","0","0","0","0","0","0","0"
"1766","0","0","0","0","0","0","0"
"1767","0","0","0","0","0","0","0"
"1768","0","0","0","0","0","0","0"
"1769","0","0","0","0","0","0","0"
"1770","0","0","0","0","0","0","0"
"1771","0","0","0","0","0","0","0"
"1772","0","0","0","0","0","0","0"
"1773","0","0","0","0","0","0","0"
"1774","0","0","0","0","0","0","0"
"1775","0","0","0","0","0","0","0"
"1776","0","0","0","0","0","0","0"
"1777","0","0","0","0","0","0","0"
"1778","0","0","0","0","0","0","0"
"1779","0","0","0","0","0","0","0"
"1780","0","0","0","0","0","0","0"
"1781","0","0","0","0","0","0","0"
"1782","0","0","0","0","0","0","0"
"1783","0","0","0","0","0","0","0"
"1784","0","0","0","0","0","0","0"
"1785","0","0","0","0","0","0","0"
"1786","0","0","0","0","0","0","0"
"1787","0","0","0","0","0","0","0"
"1788","0","0","0","0","0","0","0"
"1789","0","0","0","0","0","0","0"
"1790","0","0","0","0","0","0","0"
"1791","0","0","0","0","0","0","0"
"1792","0","0","0","0","0","0","0"
"1793","0","0","0","0","0","0","0"
"1794","0","0","0","0","0","0","0"
"1795","0","0","0","0","0","0","0"
"1796","0","0","0","0","0","0","0"
"1797","0","0","0","0","0","0","0"
"1798","0","0","0","0","0","0","0"
"1799","0","0","0","0","0","0","0"
"1800","592","120","82","255","178","7","196"
"1801","563","123","83","226","57","11","201"
"1802","610","162","75","235","46","6","235"
"1803","514","97","74","211","102","8","198"
"1804","397","50","57","190","137","8","116"
"1805","507","36","53","223","208","5","188"
"1806","447","32","52","183","171","4","182"
"1807","501","49","60","213","214","11","171"
"1808","559","66","72","260","249","5","169"
"1809","671","99","77","318","253","24","207"
"1810","681","95","101","273","224","29","214"
"1811","676","74","104","275","227","47","205"
"1812","753","71","103","269","231","111","220"
"1813","781","51","114","290","262","95","250"
"1814","794","84","126","317","283","32","269"
"1815","883","122","104","379","304","33","320"
"1816","1024","105","174","437","377","44","313"
"1817","1214","155","167","487","150","21","439"
"1818","1197","101","166","400","56","24","533"
"1819","1248","144","150","380","59","26","592"
"1820","1244","156","174","412","71","33","552"
"1821","1059","171","124","368","58","36","442"
"1822","1147","180","108","531","83","31","357"
"1823","1120","94","107","521","108","34","353"
"1824","1275","87","126","588","79","34","441"
"1825","1375","131","135","613","52","41","480"
"1826","1640","120","164","615","81","40","678"
