"key","doc_count","female","male"
"1674","0","0","0"
"1675","0","0","0"
"1676","0","0","0"
"1677","0","0","0"
"1678","0","0","0"
"1679","0","0","0"
"1680","0","0","0"
"1681","0","0","0"
"1682","0","0","0"
"1683","0","0","0"
"1684","0","0","0"
"1685","0","0","0"
"1686","0","0","0"
"1687","0","0","0"
"1688","0","0","0"
"1689","0","0","0"
"1690","0","0","0"
"1691","0","0","0"
"1692","0","0","0"
"1693","0","0","0"
"1694","0","0","0"
"1695","0","0","0"
"1696","0","0","0"
"1697","0","0","0"
"1698","0","0","0"
"1699","0","0","0"
"1700","0","0","0"
"1701","0","0","0"
"1702","0","0","0"
"1703","0","0","0"
"1704","0","0","0"
"1705","0","0","0"
"1706","0","0","0"
"1707","0","0","0"
"1708","0","0","0"
"1709","0","0","0"
"1710","0","0","0"
"1711","0","0","0"
"1712","0","0","0"
"1713","0","0","0"
"1714","0","0","0"
"1715","0","0","0"
"1716","0","0","0"
"1717","0","0","0"
"1718","0","0","0"
"1719","0","0","0"
"1720","0","0","0"
"1721","0","0","0"
"1722","0","0","0"
"1723","0","0","0"
"1724","0","0","0"
"1725","0","0","0"
"1726","0","0","0"
"1727","0","0","0"
"1728","0","0","0"
"1729","0","0","0"
"1730","0","0","0"
"1731","0","0","0"
"1732","0","0","0"
"1733","0","0","0"
"1734","0","0","0"
"1735","0","0","0"
"1736","0","0","0"
"1737","0","0","0"
"1738","0","0","0"
"1739","0","0","0"
"1740","0","0","0"
"1741","0","0","0"
"1742","0","0","0"
"1743","0","0","0"
"1744","0","0","0"
"1745","0","0","0"
"1746","0","0","0"
"1747","0","0","0"
"1748","0","0","0"
"1749","0","0","0"
"1750","0","0","0"
"1751","0","0","0"
"1752","0","0","0"
"1753","0","0","0"
"1754","0","0","0"
"1755","0","0","0"
"1756","0","0","0"
"1757","0","0","0"
"1758","0","0","0"
"1759","0","0","0"
"1760","0","0","0"
"1761","0","0","0"
"1762","0","0","0"
"1763","0","0","0"
"1764","0","0","0"
"1765","0","0","0"
"1766","0","0","0"
"1767","0","0","0"
"1768","0","0","0"
"1769","0","0","0"
"1770","0","0","0"
"1771","0","0","0"
"1772","0","0","0"
"1773","0","0","0"
"1774","0","0","0"
"1775","0","0","0"
"1776","0","0","0"
"1777","0","0","0"
"1778","0","0","0"
"1779","0","0","0"
"1780","0","0","0"
"1781","0","0","0"
"1782","0","0","0"
"1783","0","0","0"
"1784","0","0","0"
"1785","0","0","0"
"1786","0","0","0"
"1787","0","0","0"
"1788","0","0","0"
"1789","0","0","0"
"1790","0","0","0"
"1791","0","0","0"
"1792","0","0","0"
"1793","0","0","0"
"1794","0","0","0"
"1795","0","0","0"
"1796","0","0","0"
"1797","0","0","0"
"1798","0","0","0"
"1799","0","0","0"
"1800","1","1","0"
"1801","4","1","3"
"1802","2","0","2"
"1803","4","2","2"
"1804","1","0","1"
"1805","2","0","2"
"1806","2","0","2"
"1807","2","1","1"
"1808","3","1","2"
"1809","4","2","2"
"1810","7","4","3"
"1811","5","2","3"
"1812","8","3","5"
"1813","13","2","11"
"1814","7","3","4"
"1815","6","3","3"
"1816","8","1","7"
"1817","2","0","2"
"1818","8","1","7"
"1819","4","1","3"
"1820","4","2","2"
"1821","5","1","4"
"1822","3","1","2"
"1823","2","1","1"
"1824","3","1","2"
"1825","2","0","2"
"1826","5","2","3"
"1827","6","1","5"
"1828","6","0","6"
"1829","5","1","4"
"1830","0","0","0"
"1831","3","0","3"
"1832","3","1","2"
"1833","0","0","0"
"1834","2","0","2"
"1835","2","0","2"
"1836","0","0","0"
"1837","0","0","0"
"1838","0","0","0"
"1839","0","0","0"
"1840","1","0","1"
"1841","0","0","0"
"1842","0","0","0"
"1843","0","0","0"
"1844","1","0","1"
"1845","0","0","0"
"1846","1","0","1"
"1847","0","0","0"
"1848","0","0","0"
"1849","0","0","0"
"1850","0","0","0"
"1851","0","0","0"
"1852","0","0","0"
"1853","2","0","2"
"1854","0","0","0"
"1855","0","0","0"
"1856","0","0","0"
"1857","1","0","1"
"1858","1","0","1"
"1859","0","0","0"
"1860","2","0","2"
"1861","0","0","0"
"1862","0","0","0"
"1863","0","0","0"
"1864","0","0","0"
"1865","0","0","0"
"1866","0","0","0"
"1867","0","0","0"
"1868","0","0","0"
"1869","0","0","0"
"1870","0","0","0"
"1871","0","0","0"
"1872","1","0","1"
"1873","0","0","0"
"1874","1","0","1"
"1875","0","0","0"
"1876","1","0","1"
"1877","0","0","0"
"1878","0","0","0"
"1879","0","0","0"
"1880","4","1","3"
"1881","0","0","0"
"1882","0","0","0"
"1883","0","0","0"
"1884","1","1","0"
"1885","0","0","0"
"1886","0","0","0"
"1887","0","0","0"
"1888","2","0","2"
"1889","0","0","0"
"1890","2","0","2"
"1891","1","0","1"
"1892","1","0","1"
"1893","0","0","0"
"1894","0","0","0"
"1895","0","0","0"
"1896","2","1","1"
"1897","0","0","0"
"1898","3","0","3"
"1899","1","1","0"
"1900","1","0","1"
"1901","0","0","0"
"1902","1","0","1"
"1903","2","1","1"
"1904","0","0","0"
"1905","0","0","0"
"1906","0","0","0"
"1907","0","0","0"
"1908","0","0","0"
"1909","0","0","0"
"1910","1","0","1"
"1911","0","0","0"
"1912","0","0","0"
"1913","0","0","0"
