"key","doc_count","corporal","death","imprison","miscPunish","noPunish","transport"
"1674","0","0","0","0","0","0","0"
"1675","0","0","0","0","0","0","0"
"1676","0","0","0","0","0","0","0"
"1677","0","0","0","0","0","0","0"
"1678","0","0","0","0","0","0","0"
"1679","0","0","0","0","0","0","0"
"1680","0","0","0","0","0","0","0"
"1681","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0"
"1683","0","0","0","0","0","0","0"
"1684","0","0","0","0","0","0","0"
"1685","0","0","0","0","0","0","0"
"1686","0","0","0","0","0","0","0"
"1687","0","0","0","0","0","0","0"
"1688","0","0","0","0","0","0","0"
"1689","0","0","0","0","0","0","0"
"1690","0","0","0","0","0","0","0"
"1691","0","0","0","0","0","0","0"
"1692","0","0","0","0","0","0","0"
"1693","0","0","0","0","0","0","0"
"1694","0","0","0","0","0","0","0"
"1695","0","0","0","0","0","0","0"
"1696","0","0","0","0","0","0","0"
"1697","0","0","0","0","0","0","0"
"1698","0","0","0","0","0","0","0"
"1699","0","0","0","0","0","0","0"
"1700","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0"
"1703","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0"
"1707","0","0","0","0","0","0","0"
"1708","0","0","0","0","0","0","0"
"1709","0","0","0","0","0","0","0"
"1710","0","0","0","0","0","0","0"
"1711","0","0","0","0","0","0","0"
"1712","0","0","0","0","0","0","0"
"1713","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0"
"1715","0","0","0","0","0","0","0"
"1716","0","0","0","0","0","0","0"
"1717","0","0","0","0","0","0","0"
"1718","0","0","0","0","0","0","0"
"1719","0","0","0","0","0","0","0"
"1720","0","0","0","0","0","0","0"
"1721","0","0","0","0","0","0","0"
"1722","0","0","0","0","0","0","0"
"1723","0","0","0","0","0","0","0"
"1724","0","0","0","0","0","0","0"
"1725","0","0","0","0","0","0","0"
"1726","0","0","0","0","0","0","0"
"1727","0","0","0","0","0","0","0"
"1728","0","0","0","0","0","0","0"
"1729","0","0","0","0","0","0","0"
"1730","0","0","0","0","0","0","0"
"1731","0","0","0","0","0","0","0"
"1732","0","0","0","0","0","0","0"
"1733","0","0","0","0","0","0","0"
"1734","0","0","0","0","0","0","0"
"1735","0","0","0","0","0","0","0"
"1736","0","0","0","0","0","0","0"
"1737","0","0","0","0","0","0","0"
"1738","0","0","0","0","0","0","0"
"1739","0","0","0","0","0","0","0"
"1740","0","0","0","0","0","0","0"
"1741","0","0","0","0","0","0","0"
"1742","0","0","0","0","0","0","0"
"1743","0","0","0","0","0","0","0"
"1744","0","0","0","0","0","0","0"
"1745","0","0","0","0","0","0","0"
"1746","0","0","0","0","0","0","0"
"1747","0","0","0","0","0","0","0"
"1748","0","0","0","0","0","0","0"
"1749","0","0","0","0","0","0","0"
"1750","0","0","0","0","0","0","0"
"1751","0","0","0","0","0","0","0"
"1752","0","0","0","0","0","0","0"
"1753","0","0","0","0","0","0","0"
"1754","0","0","0","0","0","0","0"
"1755","0","0","0","0","0","0","0"
"1756","0","0","0","0","0","0","0"
"1757","0","0","0","0","0","0","0"
"1758","0","0","0","0","0","0","0"
"1759","0","0","0","0","0","0","0"
"1760","0","0","0","0","0","0","0"
"1761","0","0","0","0","0","0","0"
"1762","0","0","0","0","0","0","0"
"1763","0","0","0","0","0","0","0"
"1764","0","0","0","0","0","0","0"
"1765","0","0","0","0","0","0","0"
"1766","0","0","0","0","0","0","0"
"1767","0","0","0","0","0","0","0"
"1768","0","0","0","0","0","0","0"
"1769","0","0","0","0","0","0","0"
"1770","0","0","0","0","0","0","0"
"1771","0","0","0","0","0","0","0"
"1772","0","0","0","0","0","0","0"
"1773","0","0","0","0","0","0","0"
"1774","0","0","0","0","0","0","0"
"1775","0","0","0","0","0","0","0"
"1776","0","0","0","0","0","0","0"
"1777","0","0","0","0","0","0","0"
"1778","0","0","0","0","0","0","0"
"1779","0","0","0","0","0","0","0"
"1780","0","0","0","0","0","0","0"
"1781","0","0","0","0","0","0","0"
"1782","0","0","0","0","0","0","0"
"1783","0","0","0","0","0","0","0"
"1784","0","0","0","0","0","0","0"
"1785","0","0","0","0","0","0","0"
"1786","0","0","0","0","0","0","0"
"1787","0","0","0","0","0","0","0"
"1788","0","0","0","0","0","0","0"
"1789","0","0","0","0","0","0","0"
"1790","0","0","0","0","0","0","0"
"1791","0","0","0","0","0","0","0"
"1792","0","0","0","0","0","0","0"
"1793","0","0","0","0","0","0","0"
"1794","0","0","0","0","0","0","0"
"1795","0","0","0","0","0","0","0"
"1796","0","0","0","0","0","0","0"
"1797","0","0","0","0","0","0","0"
"1798","0","0","0","0","0","0","0"
"1799","0","0","0","0","0","0","0"
"1800","657","125","100","270","189","7","221"
"1801","621","124","101","232","60","11","228"
"1802","691","173","96","255","48","5","266"
"1803","566","99","82","224","108","8","227"
"1804","451","56","65","208","150","11","134"
"1805","564","37","66","232","215","5","216"
"1806","479","32","58","190","178","5","196"
"1807","546","52","71","224","222","11","188"
"1808","620","66","87","279","269","5","190"
"1809","758","108","88","348","274","31","236"
"1810","767","98","118","282","231","51","246"
"1811","748","78","111","294","239","53","235"
"1812","846","75","125","282","240","132","244"
"1813","879","57","141","309","276","114","274"
"1814","907","92","148","331","294","35","323"
"1815","1015","136","124","417","329","37","381"
"1816","1165","117","214","464","395","54","358"
"1817","1404","171","200","519","154","23","542"
"1818","1439","107","198","428","61","25","696"
"1819","1496","160","183","408","59","30","756"
"1820","1568","169","220","435","75","35","800"
"1821","1297","199","141","405","58","47","587"
"1822","1299","201","139","571","86","37","405"
"1823","1264","103","123","557","112","35","412"
"1824","1428","90","147","617","83","37","508"
"1825","1564","147","161","659","54","47","548"
"1826","1861","132","204","638","82","41","803"
